console	安慰，慰问；控制台，仪表板
massacre	残杀，大屠杀
occupation	占领，占用；职业，工作
occupy	占用，使从事；占领；担任
occur	发生，存在，出现；被发现，被想到
occurrence	事件，事故；发生，出现
offend	冒犯；违犯；使厌恶
offer	提供，提出；呈现，出现；出价
offset	补偿，抵消
offspring	子孙，后代；结果，产物
paragraph	段，节；小新闻，短评
paralys(z)e	使瘫痪，使麻痹；使丧失作用
parallel	平行的；类似的，相同的；平行线；相似物，相似处
part	部分；片段；一点；成员；成分；器官；部位；部件；地区；参与；分离，解散；
部分地
partial	部分的，不完全的；偏袒的，偏爱的
participant	参加者，参与者
participate	参与，参加；分享，分担
particle	粒子，微粒；极少量
particular	特殊的；特定的；细致的；挑剔的；详情，细目
partly	部分地，不完全地
partner	合作者，伙伴；配偶；做搭档，配对
passion	热情，激情；激怒，大怒
passive	被动的，消极的
quick	迅速的，敏捷的
quit	停止；放弃；离开；辞去
quest	寻求，寻找，探索；追求
questionnaire	问卷，征求意见表
quote	引用，引述，援引
span	跨度，跨距，一段时间
spare	多余的；备用的，额外的；节省；抽出，让给
schedule	时间表，进度表；安排，排定
scheme	计划，方案；阴谋，诡计；结构，布局
science	科学，学科，自然科学
scientific	科学的；细致严谨的
scientist	科学家
embrace	拥抱；接受；包含，包括
embed	使插入，使嵌入；深留
embody	使具体化，表现；收录，包括
embryo	胚；胚胎；萌芽状态
elite	精华；上层人士，实力集团，精英
elsewhere	在别处，向别处
thirst	渴，口渴；渴望，渴求
thorough	彻底的，完全的；精心的
though	虽然，尽管；可是，然而
thought	思想，思维，思考；想法，观念
thoughtful	认真思考的，沉思的；体贴的，关心的
threat	恐吓，威胁；危险迹象
threaten	恐吓，威胁
update	更新，使现代化
upgrade	提高，使升级；改善
uphold	举起，高举；支持，维护，赞成
upset	使苦恼；打乱，搅乱；打翻
up-to-date	时新的，新式的，现代化的
ventilate	使通风；公开讨论
venture	冒险，投机行动；敢于，敢说
widespread	遍布的，普遍的
win	赢得；达到，获取；胜利
wit	智力，才智
withdraw	收回；取消；离开
witness	目击者，见证人；证据；目击；证明
inaugurate	为（某人）举行就职典礼；引进，开创
incentive	刺激，奖励；动机，诱因
incidence	发生；影响
incident	事件，事变
incidentally	偶然地；附带地，顺便提及
incline	倾斜；倾向，爱好；趋势
academic	学院的；学术的
academy	学院
accelerate	加速，加快，增速
accept	接受，认可；同意，承认
acceptance	接受；承认，认可
access	接近，进入；入口，通道；存取
accessory	附件，配件；附属的
begin	开始，创始，开始讲话
beginning	开端，开始；初级阶段；源于
behalf	利益
behave	举止端正，听话；表现；运转
behavior/behaviour	行为，举止；特性
belief	信仰，信条；相信，信念
believe	相信，信任；信仰
belong	属于，隶属；应归入
beneficial	有益的，有好处的
benefit	利益，恩惠；有益于，受益于
challenge	公然反抗；需要，要求；激励；挑战；努力追求的目标
chance	机会；可能性；运气；碰巧，偶然发生
change	改变，变化；零钱，找头；交换
channel	海峡，水道；频道，波段；路线，途径
character	性质；品质；人物，角色；符号
characteris(z)e	描述……特性
characteristic	特征，特性；特有的，独特的
defend	防御，保卫；为……辩护
defendant	被告人；被告
define	规定，限定；使清楚；解释
definite	明确的，肯定的，限定的
definition	定义，解释；清晰度
defy	蔑视；违抗，反抗；使成为不可能
degree	程度；度数；学位；等级
delay	耽搁，延迟
deliberate	慎重的；故意的；仔细考虑，商议
delicate	纤弱的；精密的；微妙的；灵敏的
deliver	给（产妇）接生；投递，运输；宣布；给予；发射；释放
delivery	递送，交付；分娩
fiction	虚构，编造；小说
field	田野；运动场；领域，范围
fierce	凶猛的，残忍的；狂热的，强烈的
fight	搏斗，打仗；战斗，斗志
figure	数字；体形；图形；人物；估计，推测
finance	财政，金融
financial	财政的，金融的
finding	发现，发现物；调查结果
finite	有限的，有限制的
firm	坚固的；坚决的；公司，商号
first	第一的，最重要的，首要的；最优秀的；最初；宁愿；前所未有的事情；最高成就
fit	适合，配合，适应；安装；适合的，恰当的；健康的，强健的
fitting	适合的，恰当的；配件，装置
global	全球的，世界的
globe	球体，地球仪；地球，世界
